query,title,url,published,views
डेंगू भारत,Des Ki Baat: Desperate Pleas For Help As Dengue Deaths Rise In Western Uttar Pradesh,https://www.youtube.com/watch?v=74BFLVEb3Ko,3 years ago,11K views
डेंगू भारत,"AAMNE-SAMNE: Elimination of Malaria, Dengue & Chikungunya",https://www.youtube.com/watch?v=Xl9fM_9Ws-Y,8 years ago,415 views
डेंगू भारत,Is there Dengue Vaccine in India? क्या भारत में डेंगू का टीका है?,https://www.youtube.com/watch?v=XSPdjoS6MQE,Streamed 3 years ago,310 views
chikungunya india,India says it is equipped to handle Chikungunya disease,https://www.youtube.com/watch?v=jiMoIKjde38,8 years ago,1.8K views
chikungunya india,"India reels under Chikungunya, Dengue fever",https://www.youtube.com/watch?v=f05L05wvxEc,8 years ago,1K views
chikungunya india,"#StopTheSpread | What You Can Do To Curb Malaria, Dengue and Chikungunya",https://www.youtube.com/watch?v=SxUlUxMabv4,5 years ago,174 views
chikungunya india,Chikungunya outbreak: What you need to know,https://www.youtube.com/watch?v=XpY-GrSetss,8 years ago,1.3K views
chikungunya india,"Chikungunya, Dengue cases rise to more than 2000 in National Capital",https://www.youtube.com/watch?v=cs6WOlJSXq8,8 years ago,97 views
chikungunya india,Chikungunya and Dengue cases rises alarmingly,https://www.youtube.com/watch?v=bQE2vOfa868,8 years ago,129 views
chikungunya india,Chikungunya outbreak hits Delhi economy | Business,https://www.youtube.com/watch?v=oR6QeU3U1V4,8 years ago,604 views
chikungunya india,Newsroom: Delhi's Hospitals Poor Equipped To Deal Outbreak Of Chikungunya,https://www.youtube.com/watch?v=QKJjW9K9xSw,8 years ago,162 views
chikungunya india,"#StopTheSpread | What You Can Do To Curb Malaria, Dengue and Chikungunya",https://www.youtube.com/watch?v=N2Mzg5d08n0,4 years ago,451 views
chikungunya india,"Delhi: Chikungunya, Dengue Arrive Big Early This Year",https://www.youtube.com/watch?v=r89uqcD8HCw,8 years ago,475 views
chikungunya india,"Reports of Dengue, Chikungunya cases in Delhi",https://www.youtube.com/watch?v=acgYhk5pIbk,8 years ago,1.3K views
chikungunya india,chikungunya ke lakshan#health #chikungunya #india,https://www.youtube.com/watch?v=McglasEdKJo,1 year ago,107 views
chikungunya india,20 times rise In chikungunya cases: Delhi authorities caught napping?,https://www.youtube.com/watch?v=CVaYYgcGBWQ,8 years ago,735 views
chikungunya india,Chikungunya & Dengue Cases Rise: A Look Inside The Fever Wards In Delhi Hospitals,https://www.youtube.com/watch?v=8L5gl14kTIY,8 years ago,2.2K views
chikungunya india,"10 chikungunya deaths in Delhi, AAP says 'let's rise above politics'",https://www.youtube.com/watch?v=88ea1dFZVoE,8 years ago,569 views
chikungunya india,5 die in Delhi's worst chikungunya crisis in 5 years,https://www.youtube.com/watch?v=ge9bmjPmHgw,8 years ago,417 views
chikungunya india,"Jan Man: When will India be free from Malaria, Chikungunya and Dengue?",https://www.youtube.com/watch?v=Mj8IOWilF-M,8 years ago,3K views
chikungunya india,"Over 2,000 down with Chikungunya, Dengue in Delhi, families feel the burn",https://www.youtube.com/watch?v=eVzlqSVYjSA,8 years ago,895 views
chikungunya india,"Chikungunya taking lives in Delhi, death toll climbs to 3 | Oneindia News",https://www.youtube.com/watch?v=-GQhcDlPvyc,8 years ago,167 views
chikungunya india,Hospitals Lack Facilities As Chikungunya Scare Rise In Delhi,https://www.youtube.com/watch?v=6DwmaB7ETQM,8 years ago,152 views
चिकनगुनिया भारत,Delhi: Chikungunya cases on the rise,https://www.youtube.com/watch?v=i1xkGamu5i0,8 years ago,277 views
चिकनगुनिया भारत,Dengue and Chikungunya cases rise across country,https://www.youtube.com/watch?v=BG0iv_eN8x0,8 years ago,139 views
